followers_count,friends_count,statuses_count
4166,4813,24498
4162,4038,96911
4160,4323,33349
4156,4719,32922
4151,4938,91131
4127,4987,301462
4120,4988,108814
4113,2071,165880
4109,454,45108
4105,4158,10239
4088,4072,11971
4079,252,151870
4052,4976,51268
4050,3370,161719
4048,4670,20993
4048,4670,20993
4048,153,5574
4039,4747,101100
4037,4102,176569
4019,5000,195829
4014,2615,7872
3990,3266,290166
3982,2162,44504
3982,4318,61754
3972,5001,47356
3959,4727,1009
3959,4278,15655
3953,4945,27541
3951,2996,8555
3947,499,6208
3946,3761,159389
3946,5001,233032
3921,402,155082
3921,402,155084
3910,996,62734
3901,4993,47996
3896,4938,13634
3893,4893,311220
3891,4997,71197
3881,5001,140850
3880,4348,17999
3860,4862,3322
3856,2983,89002
3836,4998,166240
3836,4998,166240
3817,5001,52448
3808,3979,9969
3807,5001,41187
3793,4792,6122
3787,478,25704
3782,4980,15020
3781,3710,63242
3780,3710,63239
3776,4735,44388
3758,1419,256990
3754,4738,45449
3749,4981,29537
3744,4040,75971
3737,4605,33075
3734,5000,94325
3731,3399,537347
3702,4261,92204
3697,3399,3883
3693,4276,67674
3685,251,15695
3664,3621,5897
3657,5001,89668
3649,4982,71219
3633,5000,653667
3629,440,2703
3626,4813,282448
3621,3554,28447
3614,3841,11576
3612,4911,41910
3596,2367,596490
3583,5002,67183
3575,698,58689
3571,4972,6860
3570,1879,307344
3570,1879,307344
3569,3852,4359
3566,3011,134720
3566,3011,134722
3558,747,71720
3558,3358,5550
3557,4583,84551
3552,3915,69026
3547,4967,23212
3543,3545,14408
3543,3545,14408
3531,3421,133631
3531,3421,133631
3529,4465,159912
3526,3547,17451
3526,3547,17451
3526,3547,17451
3523,999,32742
3518,2455,245739
3504,3673,25393
3502,4990,51974
3497,2733,117008
3497,3601,130494
3483,4986,118133
3483,298,59507
3480,4987,16904
3479,4559,29779
3478,2185,11466
3469,3473,7622
3469,3473,7623
3468,4080,21979
3465,4993,10677
3444,1392,18875
3433,3021,90382
3430,1838,138456
3429,2707,10330
3419,4338,22149
3418,4229,217831
3380,3540,52083
3377,2729,57884
3373,1410,20718
3373,1410,20719
3337,2540,21733
3329,2180,52469
3328,2089,13966
3317,3262,111148
3305,4984,250134
3292,4623,32079
3288,3231,31891
3288,3834,229826
3284,3681,9210
3275,3367,9409
3275,697,228741
3275,4097,18320
3261,4996,93694
3258,3043,141726
3256,3681,41111
3246,3006,61733
3246,3495,71366
3241,3758,1301
3238,5000,13514
3237,416,14026
3236,4988,94289
3233,2411,758
3233,3429,257430
3231,4700,385355
3223,1960,110590
3216,3666,140866
3215,5000,14298
3212,105,31170
3212,105,31172
3209,5595,48929
3209,5595,48929
3196,5001,350804
3192,3049,115297
3173,2962,42377
3164,2527,300376
3163,4078,52118
3151,2745,6207
3143,1275,40325
3143,1275,40326
3131,4948,81935
3129,4067,12175
3128,1650,5435
3127,1551,14252
3124,557,31231
3123,5002,174584
3123,5002,174588
3122,504,73878
3110,1493,18112
3109,4560,3563
