followers_count,friends_count,statuses_count
1766,5000,103886
1897,997,8912
231,220,8145
69,332,2997
35,216,1225
293,1353,303855
3860,4862,3322
1869,3116,27695
3990,3266,290166
544,1291,209781
276,1656,7244
230,694,34918
465,396,17981
206,425,3287
403,244,8627
569,339,15013
1185,521,63705
64,67,10650
101,66,868
36,713,9900
708,1211,43949
203,290,3951
387,1043,104395
8905,412,42367
3782,4980,15020
1796,1439,14527
217,1293,300353
2495,332,29666
257,261,3164
33,20,1156
38,40,949
464,292,17140
4,5,8
363,495,10353
158,161,7150
5050,4243,158026
22960,3559,75822
19233,19230,33057
1105,74,4905
2899,2861,36988
5066,472,7044
27,148,628
877,1526,5708
8778,1135,16880
106,355,6064
3982,2162,44504
2483,630,25915
1464,1461,5006
230,762,16269
3,35,96
628,516,10425
120,507,657
2028,1992,40750
18021,18873,105079
2166,582,93509
39,128,1601
285,707,8427
756,707,15432
3693,4276,67674
39549,39056,73808
836,707,5002
1778,2203,15383
483,208,1505
45,91,3234
1440,2822,31797
1683,1897,136334
228,124,14401
3129,4067,12175
47,332,5074
346,232,30569
301,1408,5653
199,177,363
3212,105,31170
13,11,394
224,1090,1005
9,53,243
51538,14613,93714
80,109,16384
632,297,22117
1205,4846,117823
69,452,260
2014,3962,19323
1193,1619,14349
128,331,1999
711,2184,6280
294,315,37430
4160,4323,33349
3571,4972,6860
971,1029,61403
19,81,46
347,598,2387
104,300,1326
336,275,5751
266,257,2231
318,806,7598
54,303,8648
318,436,2920
14886,15962,60021
21,41,748
541,333,32783
6337,6716,21149
5776,6347,17922
172,1182,3351
15682,17114,110677
467,464,4463
254,287,7175
2396,1915,79929
1215,2227,10690
41,113,1660
1224,1159,45981
75,121,1539
934,744,2235
1532,983,154199
47448,45553,153949
985,1031,9970
290,310,1790
38561,38727,437260
3123,5002,174584
221,1028,7503
5,223,483
659,741,12519
2206,1066,3493
1972,592,67652
2487,2490,3150
409,773,37629
0,0,31
291,680,3148
541,31,893
113,273,3560
279,292,12121
23939,23760,143205
230,326,3384
1,41,71
155,364,1928
1647,2084,46087
1623,943,20064
226,176,2045
390,519,11823
396,1387,20667
245,1993,5306
800,613,12613
482,1412,13089
1159,1711,1953
38579,39202,307282
924,853,22186
55,124,82
6,177,3081
180,121,4076
56,273,1882
1013,1618,36486
61,285,402
357,722,13817
3087,929,55254
6000,967,26966
152,299,4421
11208,4651,83072
2251,1800,26612
32,329,6057
4677,2107,2958
2074,548,17594
2334,2142,7023
607,356,6630
1087,509,76289
2366,1831,40680
149,469,48720
157,645,5597
2189,3568,22689
164,45,5605
1832,1472,19260
5610,265,9153
985,986,35716
1739,1076,37942
104,414,2024
5234,2031,18671
331,1900,11854
262,517,89578
15,552,8137
123,246,13886
1120,2420,17201
59,468,8426
742,4691,8510
123,317,9739
1664,1910,71779
400,474,6860
4999,1021,256291
2,15,222
7250,5328,1513
872,931,37133
4261,3866,84288
23,30,274
678,642,112881
18530,13032,262945
233,710,4652
2717,4196,11663
466,399,7539
4532,4989,11166
65,94,244
39,228,1121
4498,359,23307
333,935,33278
234,380,10451
67,852,2527
177,105,11145
631,391,1065
496,2426,20787
262,423,2773
262,670,11289
370,573,4251
0,1,11
23,124,192
25,69,669
235,372,135501
23730,21608,164332
2262,2436,46817
70,62,1721
1694,4964,91121
1032,2434,110903
92,186,3243
200,208,188
10,112,1100
1516,2877,13905
0,31,281
51,696,174
148,1406,30219
44,184,108
374,165,70921
